Titulacion,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Grado en Publicidad y Relaciones Públicas,6.540177083333336,6.83922950819672,7.009229508196725,7.091634831460677,7.804011173184356,7.686929577464791
Grado en Química,8.709531645569617,9.250225000000002,9.994765432098767,10.067935483870965,10.316172839506168,10.157974025974022
Grado en Relaciones Internacionales,0.0,0.0,0.0,0.0,0.0,8.222836065573771
Grado en Relaciones Laborales y Recursos Humanos,6.6493548387096775,6.793866666666667,6.673861538461538,6.794402597402597,6.757837837837838,6.853240740740743
Grado en Trabajo Social,6.892066666666664,7.175737704918034,7.318120689655172,7.524016949152542,8.4113606557377,8.638559322033899
Grado en Traducción e Interpretación,7.5457714285714275,8.300014705882354,8.571387096774192,8.487826086956524,8.8522,8.553877192982458
Grado en Turismo,6.7125,6.930249999999999,6.763343750000001,7.499555555555555,7.26346153846154,7.259
Grado en Óptica y Optometría,9.313433333333332,9.576030303030304,9.500233333333332,10.402133333333332,11.04653333333333,10.760437500000004
Programa de Doble Titulación Oficial: Grado en Comercio y Grado en Relaciones Laborales y Recursos Humanos,0.0,0.0,0.0,9.880949999999997,8.757023809523808,8.471693877551022
Programa de Doble Titulación Oficial: Grado en Derecho y Grado en Administración y Dirección de Empresas,11.57506451612903,11.413020408163264,11.720763636363634,11.349222222222224,12.466053571428573,12.164716981132075
Programa de Doble Titulación Oficial: Grado en Educación Primaria y Grado en Educación Infantil,7.068433734939759,7.540355555555553,7.769614457831327,8.223458823529407,10.11869135802469,10.216864864864867
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería Forestal y del Medio Natural,0.0,8.1012,8.417,9.126,9.112666666666668,10.631166666666667
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería de las Industrias Agrarias y Alimentarias,0.0,8.6346,0.0,0.0,0.0,0.0
Programa de Doble Titulación Oficial: Grado en Ingeniería Informática y Grado en Estadística,11.228733333333334,10.942750000000002,12.102642857142857,12.528555555555558,12.518684210526315,12.434999999999997
Programa de Doble Titulación Oficial: Grado en Ingeniería de Tecnologías de Telecomunicación y Grado en Administración y Dirección de Empresas,11.190777777777777,9.575285714285714,11.68222222222222,11.1163,11.354444444444447,11.020499999999998
Programa de Doble Titulación Oficial: Grado en Ingeniería de las Industrias Agrarias y Alimentarias y Grado en Enología,0.0,7.778428571428572,7.478428571428571,9.088000000000001,9.131142857142857,0.0
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Física,13.111181818181818,13.185749999999999,12.384923076923076,13.371,13.390714285714285,13.641499999999999
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Ingeniería Informática de Servicios y Aplicaciones,10.68990909090909,0.0,12.174545454545454,12.794866666666667,13.152999999999999,12.4988
Programa de Doble Titulación Oficial: Grado en Publicidad y Relaciones Públicas y Grado en Turismo,7.479892857142857,7.678678571428571,8.35547619047619,7.826800000000001,7.760846153846154,8.482684210526315
Programa de Doble Titulación Oficial: Grado en Relaciones Laborales y Recursos Humanos y Grado en Administración y Dirección de Empresas,9.140185185185187,8.94969696969697,9.11492857142857,8.486285714285716,10.107666666666665,9.762533333333334
